id,position,bare,accented,derived_from_word_id,rank,disabled,audio,usage_en,usage_de,number_value,type,level,created_at
1,,и,и,,1,0,https://openrussian.org/audio-shtooka/и.mp3,"и is used in the meaning of ""and"" in the vast majority of cases.","In den allermeisten Fällen wird и mit ""und"" übersetzt.",,other,A1,2020-01-01 00:00:00
2,,в,в,,2,0,https://openrussian.org/audio-shtooka/в.mp3,"+ accusative: direction into: в Мосвку́ - to Moscow\n+ prepositional: location: в Мосве́ - in Moscow\n\nUse 'во' before ""ф"" or ""в""",,,other,A2,2020-01-01 00:00:00
4,,он,он,,,0,https://openrussian.org/audio-shtooka/он.mp3,"nominative: он\ngenitive: его́ / него́\ndative: ему́ / нему́\naccusative: его́ / него́\ninstrumental: им / ним\nprepositional: нём\n\nThe second forms are used if it is used after a preposition.\nEx: пода́рок для него́",,,other,A1,2020-01-01 00:00:00
5,,на,на,,4,0,https://openrussian.org/audio-shtooka/на.mp3,"+ accusative: motion, direction\n+ prepositional: location, situation",,,other,A2,2020-01-01 00:00:00
6,,я,я,,,0,https://openrussian.org/audio-shtooka/я.mp3,"nominative: я\ngenitive: меня́\ndative: мне\naccusative: меня́\ninstrumental: мной / мно́ю\nprepositional: мне",,,other,A1,2020-01-01 00:00:00
7,,что,что,,5,0,https://openrussian.org/audio-shtooka/что.mp3,"nominative: что\ngenitive: чего́\ndative: чему́\naccusative: что\ninstrumental: чем\nprepositional: чём",,,other,A1,2020-01-01 00:00:00
13,,это,э'то,30,13,0,https://openrussian.org/audio-shtooka/это.mp3,From *этот*.,,,other,A1,2020-01-01 00:00:00
14,,как,как,,11,0,https://openrussian.org/audio-shtooka/как.mp3,"Visit en.wiktionary.org/wiki/как#Russian\n\nto see when the different meanings should be used. This little word has many different meanings!",,,other,A2,2020-01-01 00:00:00
15,,она,она',,,0,https://openrussian.org/audio-shtooka/она.mp3,"nominative: она́\ngenitive: её / неё\ndative: ей / ней\naccusative: её / неё\ninstrumental: ей / ней or е́ю / не́ю\nprepositional: ней\n\nThe second forms are used after prepositions.\nEx: ве́тер за не́ю",,,other,A1,2020-01-01 00:00:00
18,,они,они',,,0,https://openrussian.org/audio-shtooka/они.mp3,"nominative: они́\ngenitive: их / них\ndative: им / ним\naccusative: их / них\ninstrumental: и́ми / ни́ми\nprepositional: них\n\nThe second forms are used after prepositions.\nEx: она́ ме́жду ни́ми",,,other,A1,2020-01-01 00:00:00
19,,к,к,,14,0,https://openrussian.org/audio-shtooka/к.mp3,"к до́му - towards the house \nко мне - towards me",,,other,A2,2020-01-01 00:00:00
20,,у,у,,15,0,https://openrussian.org/audio-shtooka/у.mp3,"у окна́ - by the window\nу Макса - at Max's\nУ Ива́на есть маши́на - Ivan has a car",,,other,A1,2020-01-01 00:00:00
22,,мы,мы,,,0,https://openrussian.org/audio-shtooka/мы.mp3,"nominative: мы\ngenitive: нас\ndative: нам\naccusative: нас\ninstrumental: на́ми\nprepositional: нас",,,other,A1,2020-01-01 00:00:00
24,,ты,ты,,,0,https://openrussian.org/audio-shtooka/ты.mp3,"nominative: ты\ngenitive: тебя́\ndative: тебе́\naccusative: тебя́\ninstrumental: тобо́й / тобо́ю\nprepositional: тебе́",,,other,A1,2020-01-01 00:00:00
25,,вы,вы,,,0,https://openrussian.org/audio-shtooka/вы.mp3,"nominative: вы\ngenitive: вас\ndative: вам\naccusative: вас\ninstrumental: ва́ми\nprepositional: вас",,,other,A1,2020-01-01 00:00:00
28,,сказать,сказа'ть,,20,0,https://openrussian.org/audio-shtooka/сказать.mp3,"скажи́те, пожа́луйста - tell me, please",кому? о чём?,,verb,A2,2020-01-01 00:00:00
34,,человек,челове'к,,26,0,https://openrussian.org/audio-shtooka/человек.mp3,"оди́н челове́к - one person \nдва/три/четы́ре челове́ка - two/three/four persons, people\nпять/де́сять челове́к - five/ten persons, people",,,noun,A1,2020-01-01 00:00:00
35,,один,оди'н,,,0,https://openrussian.org/audio-shtooka/один.mp3,"Masculine         Neuter           Feminine                Plural               \nNominative      оди́н 	               одно́ 	       одна́ 	               одни́\nGenitive 	   одного́ 	       одного́  	       одно́й 	               одни́х\nDative	           одному́              одному́          одно́й 	               одни́м\nAccusative        одного́/оди́н    одно́               одну́ 	               одни́х/одни́\nInstrumental    одни́м 	       одни́м 	       одно́й/одн",,,other,A2,2020-01-01 00:00:00
37,,бы,бы,,28,0,https://openrussian.org/audio-shtooka/бы.mp3,"A verbal particle used to render conditional and subjunctive patterns.\nThe particle ""бы"" may come before or after the verb it is targeting.\n\nHypothetically speaking: что было бы, если бы он смог выбрать другое направление в жизни?  - What would be, hypothetically speaking, if, hypothetically speaking, he could choose another direction  in life?",,,other,B1,2020-01-01 00:00:00
39,,только,то'лько,,30,0,https://openrussian.org/audio-shtooka/только.mp3,Только бы - Just to,,,other,A1,2020-01-01 00:00:00
40,,себя,себя',,31,0,https://openrussian.org/audio-shtooka/себя.mp3,"nominative:\ngenitive: себя́\ndative: себе́\naccusative: себя́\ninstrumental: собо́й / собо́ю\nprepositional: себе́","Deklination               Singular               Plural\nNominativ                                 \nGenitiv                       себя               \nDativ                          себе               \nAkkusativ                  себя\nInstrumental            собой, собою\nPräpositiv                 себе",,other,B1,2020-01-01 00:00:00
46,,кто,кто,,36,0,https://openrussian.org/audio-shtooka/кто.mp3,"nominative: кто\ngenitive: кого́\ndative: кому́\naccusative: кого́\ninstrumental: кем\nprepositional: ком",,,other,A1,2020-01-01 00:00:00
49,,год,год,,39,0,https://openrussian.org/audio-shtooka/год.mp3,"When using the word 'year' or 'years':\n\n* год  with the number one and all the numbers that end in one\n* года with the numbers from 2 to 4 and all numbers ending in 2, 3 and 4\n* лет with all the numbers from 5 to 20, and all numbers ending in 5,6,7,8 and 9\n\nМоей дочери один год. My daughter is one year old.\nЕму только три года. He is only three years old.\nА моему папе 56 (пятьдесят шесть) лет. And my Dad is 56 years old.",,,noun,A2,2020-01-01 00:00:00
