id,position,bare,accented,derived_from_word_id,rank,disabled,audio,usage_en,usage_de,number_value,type,level,created_at
1,,и,и,,1,0,https://openrussian.org/audio-shtooka/и.mp3,"и is used in the meaning of ""and"" in the vast majority of cases.","In den allermeisten Fällen wird и mit ""und"" übersetzt. Um aber Satzkonstruktionen wie ""Я и не хочу сказать, что..."" oder ""Человеку дается не только жизнь один раз, но и совесть."" korrekt zu übersetzen, sollte man die zweite Bedeutung kennen. Sandy",,other,A1,2020-01-01 00:00:00
2,,в,в,,2,0,https://openrussian.org/audio-shtooka/в.mp3,"+ accusative: direction into - в Москву́: to Moscow\n+ accusative: in a date/time - в минувшую субботу: in the last Saturday\n+ accusative: at/ in  stages -  осуществляемого в два этапа: carried out in two stages\n+ prepositional: location - в Москве́: in Moscow\n\nUse 'во' before ""ф"" or ""в""",,,other,A2,2020-01-01 00:00:00
4,,он,он,,,0,https://openrussian.org/audio-shtooka/он.mp3,"nominative: он\ngenitive: его́ / него́\ndative: ему́ / нему́\naccusative: его́ / него́\ninstrumental: им / ним\nprepositional: нём\n\nThe second forms are used if it is used after a preposition.\nEx: пода́рок для него́",,,other,A1,2020-01-01 00:00:00
5,,на,на,,4,0,https://openrussian.org/audio-shtooka/на.mp3,"+ accusative: motion, direction\n+ prepositional: location, situation\n\n(i) На has many literal and figurative meanings which denote various forms of direction, allocation, expenditure etc.:\n(ii) The main verb or adjective may denote resolve:\n(iii) Follows the main verb, adjective or noun may express reaction:",,,other,A2,2020-01-01 00:00:00
6,,я,я,,,0,https://openrussian.org/audio-shtooka/я.mp3,"nominative: я\ngenitive: меня́\ndative: мне\naccusative: меня́\ninstrumental: мной / мно́ю\nprepositional: мне",,,other,A1,2020-01-01 00:00:00
7,,что,что,,5,0,https://openrussian.org/audio-shtooka/что.mp3,"nominative: что\ngenitive: чего́\ndative: чему́\naccusative: что\ninstrumental: чем\nprepositional: чём\n\nо чём: about...what\n\nво что: into what",,,other,A1,2020-01-01 00:00:00
8,,тот,тот,,6,0,https://openrussian.org/audio-shtooka/тот.mp3,"1) с тем: in addition to that\n2) то, что: for, by, of, on, to... + V-ing. For example за то, что разби́л = for breaking\n3) то, как how\n4) то, где: where\n5) то, когда: when\n6) с тем, какую: which\n7) одной и той: the same\n8) То st, то st: Sometimes thing(s)..., sometimes another thing (s)... => For example То тепло, то очень холодно: Sometimes it's warm, sometimes it's freezing\n9) Перед тем: before\n10) всё те же: All the same\n11) а то: or",,,adjective,B1,2020-01-01 00:00:00
9,,быть,быть,,7,0,https://openrussian.org/audio-shtooka/быть.mp3,+ instrumental,,,verb,B1,2020-01-01 00:00:00
10,,с,с,,8,0,https://openrussian.org/audio-shtooka/с.mp3,"с всего: 'from' not ""down from"" or ""with"" + genitive\n(*) С + genitive expresses (a) cause(s) of an event",,,other,A1,2020-01-01 00:00:00
13,,это,э'то,30,13,0,https://openrussian.org/audio-shtooka/это.mp3,From *этот*.,,,other,A1,2020-01-01 00:00:00
14,,как,как,,11,0,https://openrussian.org/audio-shtooka/как.mp3,"Visit en.wiktionary.org/wiki/как#Russian to see when the different meanings should be used. This little word has many different meanings!\nкак можно: as...possible. For example: как можно меньшее время: as little time as possible",,,other,A2,2020-01-01 00:00:00
15,,она,она',,,0,https://openrussian.org/audio-shtooka/она.mp3,"nominative: она́\ngenitive: её / неё\ndative: ей / ней\naccusative: её / неё\ninstrumental: ей / ней or е́ю / не́ю\nprepositional: ней\n\nThe second forms are used after prepositions.\nEx: ве́тер за не́ю",,,other,A1,2020-01-01 00:00:00
16,,по,по,,12,0,https://openrussian.org/audio-shtooka/по.mp3,"По + dative:\n(i) With nouns that denote means of communication\n(ii) In the meaning ‘according to’, ‘by’ etc\n(iii) To denote a criterion for judgment\n(iv) To denote a target, especially a moving or diffuse target\n(v) To define the ‘frame of reference’ of persons, groups, objects etc.:\n(vi) With ordinal numerals, to denote position in a scale of dimensions\nor priorities:",,,other,B1,2020-01-01 00:00:00
18,,они,они',,,0,https://openrussian.org/audio-shtooka/они.mp3,"nominative: они́\ngenitive: их / них\ndative: им / ним\naccusative: их / них\ninstrumental: и́ми / ни́ми\nprepositional: них\n\nThe second forms are used after prepositions.\nEx: она́ ме́жду ни́ми\n\nс ним: with it",,,other,A1,2020-01-01 00:00:00
19,,к,к,,14,0,https://openrussian.org/audio-shtooka/к.mp3,"к до́му - towards the house \nко мне - towards me\n\n(i) To relate a part, component or supplement to the whole:\n(ii) With nouns that denote emotional reaction to an event or\nimpression:",,,other,A2,2020-01-01 00:00:00
20,,у,у,,15,0,https://openrussian.org/audio-shtooka/у.mp3,"у окна́ - by the window\nу Макса - at Max's\nУ Ива́на есть маши́на - Ivan has a car",кого? чего?,,other,A1,2020-01-01 00:00:00
22,,мы,мы,,,0,https://openrussian.org/audio-shtooka/мы.mp3,"nominative: мы\ngenitive: нас\ndative: нам\naccusative: нас\ninstrumental: на́ми\nprepositional: нас",,,other,A1,2020-01-01 00:00:00
23,,за,за,,17,0,https://openrussian.org/audio-shtooka/за.mp3,"за то: for the fact\nза это: for this\nза...До: From...to\n\nis used for:\n(i) Thanking, paying, rewarding, punishing for\n(ii) Identifying, evaluating as\n(iii) Seizing, holding, leading by\n(iv) Feelings experienced on behalf of someone else\n(v) The meaning ‘in favour of’\n\nNote:\n""Что за"" in the meaning ""какой"" does not affect the case of the dependentnoun",,,other,B1,2020-01-01 00:00:00
24,,ты,ты,,,0,https://openrussian.org/audio-shtooka/ты.mp3,"nominative: ты\ngenitive: тебя́\ndative: тебе́\naccusative: тебя́\ninstrumental: тобо́й / тобо́ю\nprepositional: тебе́\n\nтебя́: of/ for you",,,other,A1,2020-01-01 00:00:00
25,,вы,вы,,,0,https://openrussian.org/audio-shtooka/вы.mp3,"nominative: вы\ngenitive: вас\ndative: вам\naccusative: вас\ninstrumental: ва́ми\nprepositional: вас",,,other,A1,2020-01-01 00:00:00
26,,так,так,,18,0,https://openrussian.org/audio-shtooka/так.mp3,"так = a/an/the\nэто место, это как такой рынок - this place, it is like a market\nтак и не: never quite",,,other,A2,2020-01-01 00:00:00
27,,же,же,,19,0,https://openrussian.org/audio-shtooka/же.mp3,"В то же: at the same\nК тому же: in addition\nточно так же: similarly",,,other,B1,2020-01-01 00:00:00
28,,сказать,сказа'ть,,20,0,https://openrussian.org/audio-shtooka/сказать.mp3,"скажи́те, пожа́луйста - tell me, please",кому? о чём?,,verb,A2,2020-01-01 00:00:00
29,,от,от,,21,0,https://openrussian.org/audio-shtooka/от.mp3,"От +genitive: (i) От appears in contexts involving protection, evasion, riddance etc.:",,,other,A2,2020-01-01 00:00:00
30,,этот,э'тот,,22,0,https://openrussian.org/audio-shtooka/этот.mp3,"При этом: mean while/ At the same time\nПо этой: for this",,,adjective,B1,2020-01-01 00:00:00
31,,который,кото'рый,,23,0,https://openrussian.org/audio-shtooka/который.mp3,на котором: on which/ where,,,adjective,A2,2020-01-01 00:00:00
32,1,мочь,мочь,,24,0,https://openrussian.org/audio-shtooka/мочь.mp3,мочь бы: might,,,verb,A1,2020-01-01 00:00:00
33,,о,о,,25,0,https://openrussian.org/audio-shtooka/о.mp3,"о is written as об before а, э, и, о, у\nО + accusative denotes the object of collision, friction, pressure etc.: has the meaning ""against"", ""over""",,,other,A2,2020-01-01 00:00:00
34,,человек,челове'к,,26,0,https://openrussian.org/audio-shtooka/человек.mp3,"оди́н челове́к - one person \nдва/три/четы́ре челове́ка - two/three/four persons, people\nпять/де́сять челове́к - five/ten persons, people\n5-999 take the genitive plural of челове́к not люде́й",,,noun,A1,2020-01-01 00:00:00
35,,один,оди'н,,,0,https://openrussian.org/audio-shtooka/один.mp3,"Masculine         Feminine             Neuter           Plural               \nnominative:     оди́н 	          одна́                   одно́ 	          одни́\ngenitive: 	  одного́ 	  одно́й                 одного́  	          одни́х\ndative:	        одному́              одно́й                  одному́        одни́м\naccusative:      оди́н/одного́      одну́                    одно́             одни́/одни́х\ninstrumental:    одни́м 	           одно́й/одно́ю      одни́",,,other,A2,2020-01-01 00:00:00
36,,ещё,ещё,,27,0,https://s3.eu-central-1.amazonaws.com/openrussian/audio/yandex-cache/md5_ac1812330c464b4caa541f59b726b872.mp3,"ещё один: another\nВсё ещё encore , toujours",,,other,A1,2020-01-01 00:00:00
37,,бы,бы,,28,0,https://openrussian.org/audio-shtooka/бы.mp3,"A verbal particle used to render conditional and subjunctive patterns.\nThe particle ""бы"" may come before or after the verb it is targeting.\n\nHypothetically speaking: что было бы, если бы он смог выбрать другое направление в жизни?  - What would be, hypothetically speaking, if, hypothetically speaking, he could choose another direction  in life?\n\nкак бы: how to",,,other,B1,2020-01-01 00:00:00
39,,только,то'лько,,30,0,https://openrussian.org/audio-shtooka/только.mp3,"Только бы - Just to\nско́лько / то́лько + genitive case.",,,other,A1,2020-01-01 00:00:00
40,,себя,себя',,31,0,https://openrussian.org/audio-shtooka/себя.mp3,"nominative:\ngenitive: себя́\ndative: себе́\naccusative: себя́\ninstrumental: собо́й / собо́ю\nprepositional: себе́\n\nпо себе: in (one) self\nне по себе: unconfortable","Deklination               Singular               Plural\nNominativ                                 \nGenitiv                       себя               \nDativ                          себе               \nAkkusativ                  себя\nInstrumental            собой, собою\nPräpositiv                 себе",,other,B1,2020-01-01 00:00:00
42,,какой,како'й,,32,0,https://openrussian.org/audio-shtooka/какой.mp3,по какому - adv:  on any,,,adjective,A2,2020-01-01 00:00:00
44,,уже,уже',,34,0,https://openrussian.org/audio-shtooka/уже.mp3,used only in statement or questions not in negative sentences.,,,other,A2,2020-01-01 00:00:00
46,,кто,кто,,36,0,https://openrussian.org/audio-shtooka/кто.mp3,"nominative: кто\ngenitive: кого́\ndative: кому́\naccusative: кого́\ninstrumental: кем\nprepositional: ком\n\nкто же: who",,,other,A1,2020-01-01 00:00:00
47,,вот,вот,,37,0,https://openrussian.org/audio-shtooka/вот.mp3,"вот так:  the same, just like, like so",,,other,A2,2020-01-01 00:00:00
49,,год,год,,39,0,https://openrussian.org/audio-shtooka/год.mp3,"When using the word 'year' or 'years':\n\n* год  with the number one and all the numbers that end in one (except 11)\n* года with the numbers from 2 to 4 and all numbers ending in 2, 3 and 4 (except 12, 13 and 14)\n* лет with all the numbers from 5 to 20, and all numbers ending in 5,6,7,8 and 9\n\nМоей дочери один год. (My daughter is one year old.)\nЕму только три года. (He is only three years old.)\nА моему папе пятьдесят шесть лет. (And my Dad is 56 years old.)",,,noun,A2,2020-01-01 00:00:00
56,,время,вре'мя,,46,0,https://openrussian.org/audio-shtooka/время.mp3,"в то вре́мя - at that time\nво вре́мя войны́ - during the war + genitive\nмно́го вре́мени - much of the time\nза вре́мя - while + genitive\nсо временем: over time\nв настоящее время: at present\nв последнее время: lately","тем вре́менем - inzwischen, währenddessen\nсо вре́менем  - nach und nach, im Lauf der Zeit : Надеюсь, со временем вы подружитесь\nв то вре́мя  - mittlerweile",,noun,A2,2020-01-01 00:00:00
58,,самый,са'мый,,48,0,https://openrussian.org/audio-shtooka/самый.mp3,"на са́мом де́ле: In fact\nтем самым: thereby\nсамый лучший: the best\nту же самую: the same",,,adjective,B1,2020-01-01 00:00:00
60,,ни,ни,,50,0,https://openrussian.org/audio-shtooka/ни.mp3,+ genitive,,,other,B1,2020-01-01 00:00:00
65,,другой,друго'й,,54,0,https://openrussian.org/audio-shtooka/другой.mp3,по-другому: in a different way,,,adjective,A1,2020-01-01 00:00:00
66,,свой,свой,,55,0,https://openrussian.org/audio-shtooka/свой.mp3,"Я говорю́ о свое́й рабо́те - I'm talking about (my own) work\nНа дискоте́ку со свое́й фоноте́кой - To the disco with our own music collection",,,adjective,B1,2020-01-01 00:00:00
67,,дело,де'ло,,56,0,https://openrussian.org/audio-shtooka/дело.mp3,"то и дело - every now and then\nпо делам: on affairs\nде́ло в том:  matter of fact",,,noun,B1,2020-01-01 00:00:00
68,,под,под,,57,0,https://openrussian.org/audio-shtooka/под.mp3,"(i) ‘Support’ for the dependent noun\n(ii) ‘Accompaniment’:\n(iii) ‘Iimitation’, ‘adaptation to style’ etc.:",,,other,B1,2020-01-01 00:00:00
71,,ну,ну,,60,0,https://openrussian.org/audio-shtooka/ну.mp3,Ну и что: So what,,,other,B1,2020-01-01 00:00:00
74,,раз,раз,,63,0,https://openrussian.org/audio-shtooka/раз.mp3,"один раз - once\nдва ра́за - twice\nшесть раз - six times\nне раз - more than once\nкак раз:  just\nни разу: not once",,,noun,A2,2020-01-01 00:00:00
75,,два,два,,,0,https://openrussian.org/audio-shtooka/два.mp3,"два\nдвух\nдвум\nдва / двух\nдвумя́\nдвух\n\nдва changes to две when it describes something feminine\nex: две руба́шки",,,other,A2,2020-01-01 00:00:00
78,,глаз,глаз,,66,0,https://openrussian.org/audio-shtooka/глаз.mp3,на наших глазах: before our eyes,,,noun,A2,2020-01-01 00:00:00
82,,во,во,,82,0,https://s3.eu-central-1.amazonaws.com/openrussian/audio/yandex-cache/md5_b7cb42c24ad623d5b0efcd94decc60a1.mp3,"See the word в. This word во is the same word, sometimes only an ""о"" is appended to make the sentence flow better.",wie в,,,,2020-01-01 00:00:00
84,,ничто,ничто',,71,0,https://openrussian.org/audio-shtooka/ничто.mp3,"nominative: ничто́\ngenitive: ничего́\ndative: ничему́\naccusative: ничто́\ninstrumental: ниче́м\nprepositional: ни о чём",,,other,A2,2020-01-01 00:00:00
85,,потом,пото'м,,72,0,https://openrussian.org/audio-shtooka/потом.mp3,Adverb + genitive,,,other,A1,2020-01-01 00:00:00
88,,ли,ли,,74,0,https://openrussian.org/audio-shtooka/ли.mp3,"Ли always goes after the question/interrogative word.  например: <<Я спросил отца, всю ли газету он прочитал>> I asked father whether he read the whole paper.\nFor more info refer to topics titled Indirect Speech",,,other,B1,2020-01-01 00:00:00
89,,при,при,,75,0,https://openrussian.org/audio-shtooka/при.mp3,"+ prepositional case\nпри усло́вии:  on the condition/ provided that",,,other,B1,2020-01-01 00:00:00
90,,хотеть,хоте'ть,,76,0,https://openrussian.org/audio-shtooka/хотеть.mp3,хоте́л бы: I would like to,что? чего?,,verb,A1,2020-01-01 00:00:00
91,,надо,на'до,,77,0,https://openrussian.org/audio-shtooka/надо.mp3,не надо: don't,,,other,A2,2020-01-01 00:00:00
96,,идти,идти',,82,0,https://openrussian.org/audio-shtooka/идти.mp3,"(1) unidirectional verbs of motion\n(2) Travel by foot\n(3) Note: used with trains  'Поезд идет': 'The train is travelling along'\n(4) Note: can used to replace Ехать: 'Машина идет/ едет по дороге': 'The car is driving\nalong the road'",,,verb,A2,2020-01-01 00:00:00
97,,друг,друг,,83,0,https://openrussian.org/audio-shtooka/друг.mp3,"друг с другом: with one another\nдруг к другу: to each other",,,noun,A2,2020-01-01 00:00:00
101,,тоже,то'же,,87,0,https://openrussian.org/audio-shtooka/тоже.mp3,в тоже время: at the same time,,,other,A1,2020-01-01 00:00:00
